Nr.,Pardavimo s?skaitos data,Pardavimo s?skaitos serija,Kodas,Pavadinimas,Kiekis be mato,Matas,Kiekis,Pardavimo s?skaitos grup?,Pardavimo suma be PVM
2086.00,2018-11-17,AKU-1825375,A0018217860,Varža 0018212760 AKCIJA,1.00,vnt.,1.00 vnt.,Kauno realizacija,19.68
12131.00,2018-11-15,DKS-0008112,011113,Stabilizatoriaus guma 814 P 35mm AKCIJA,2.00,vnt.,2.00 vnt.,Kauno realizacija,3.31
13487.00,2018-11-16,AKU-1825343,A1697800162,Šarnyras AKCIJA,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,26.51
164162.00,2018-11-18,AKU-1825431,A0079940041,Fiksatorius,1.00,vnt.,1.00 vnt.,Šiauli? servisas,10.87
239549.00,2018-11-18,AKU-1825434,00540109W,Izoliacija,1.00,vnt.,1.00 vnt.,Šiauli? servisas,0.96
267793.00,2018-11-14,AKU-1825175,A9737200218DEF,Stiklas d.p. (naudotas),1.00,vnt.,1.00 vnt.,Šiauli? realizacija,23.06
273404.00,2018-11-12,AKU-1824957,A0008272470,Laikrodukas Webasto (naudotas),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,100.00
289348.00,2018-11-12,AKU-1824840,KC 429,Filtras kuro ,1.00,vnt.,1.00 vnt.,Šiauli? servisas,29.87
300277.00,2018-11-12,AKU-1824838,97632,Varžtas M10x30 DIN933-8.8c,1.00,vnt.,1.00 vnt.,Šiauli? servisas,0.48
384860.00,2018-11-18,AKU-1825431,126392,Varžtas M14x70 931-10.9 BERNER,4.00,vnt.,4.00 vnt.,Šiauli? servisas,1.69
395414.00,2018-11-18,AKU-1825426,15016,S?varža žarnai mini 9x9 W1,5.00,vnt.,5.00 vnt.,Šiauli? servisas,6.89
413231.00,2018-11-12,AKU-1824885,A9704010071,Rato smeig? AKCIJA,2.00,vnt.,2.00 vnt.,Vilniaus servisas,10.97
420868.00,2018-11-18,AKU-1825431,12416,Jungtis užsilydanti Duraseal m?l. BERNER,8.00,vnt.,8.00 vnt.,Šiauli? servisas,1.11
458809.00,2018-11-14,AKU-1825115,04214 ,?vor? FEBI,2.00,vnt.,2.00 vnt.,Šiauli? servisas,8.08
463463.00,2018-11-14,AKU-1825082,A5412010431,Aušinimo vamzd nuo pomp iki rad (naudotas)PJM,1.00,vnt.,1.00 vnt.,Kauno servisas,20.00
465266.00,2018-11-16,AKU-1825296,A0005441847,Sukabinimo ?taiso apšvietimo lempa (naudota),1.00,vnt.,1.00 vnt.,Klaip?dos servisas,12.00
471760.00,2018-11-12,AKU-1824951,A9417200337,Lankstas dur? ACTR. Dp. apat. (naudotas),1.00,vnt.,1.00 vnt.,Kauno realizacija,13.95
472298.00,2018-11-13,AKU-1824988,A9425280382,Gofra tarp filtro korp ir paemimo (naudota),1.00,vnt.,1.00 vnt.,Kauno servisas,9.30
475989.00,2018-11-15,AKU-1825401,A9703210384,Plokšt? po linge 160x78x10mm(naudota),1.00,vnt.,1.00 vnt.,Kauno servisas,7.20
481419.00,2018-11-18,AKU-1825422,A0075453824,Avarinis jungiklis (naudotas),1.00,vnt.,1.00 vnt.,Klaip?dos servisas,9.50
487498.00,2018-11-12,AKU-1824915,A6110920601,Filtras kuro 6110920201,1.00,vnt.,1.00 vnt.,Vilniaus servisas,14.35
494982.00,2018-11-16,AKU-1825344,12025,Tvirtinimo elementas,3.00,vnt.,3.00 vnt.,Šiauli? servisas,0.25
499810.00,2018-11-12,AKU-1824910,A0015458714,Jungiklis,1.00,vnt.,1.00 vnt.,Kauno realizacija,4.64
524263.00,2018-11-14,AKU-1825110,A0179977947,Riebokšlis 0209970247 80x100x10/9.5,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,19.25
557154.00,2018-11-13,AKU-1824988,A9425281307,Oro ?siurbimo vamzdis už kabinos (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,55.80
569701.00,2018-11-12,AKU-1824969,13528B,Saugiklis pailgas 8A baltas,5.00,vnt.,5.00 vnt.,Vilniaus servisas,0.91
571106.00,2018-11-14,AKU-1825113,330248T,Kompl. dantra?i? skaitliukui 1318,1.00,vnt.,1.00 vnt.,Vilniaus servisas,8.48
582512.00,2018-11-16,AKU-1825275,726724,Žibintas diodinis ragas ilgas k.p.,1.00,vnt.,1.00 vnt.,Vilniaus servisas,8.60
603663.00,2018-11-17,AKU-1825376,A0007250007,Ranken?l? dur? vid. K.p. (naudota),1.00,vnt.,1.00 vnt.,Vilniaus servisas,9.20
606822.00,2018-11-15,AKU-1825263,A9425280091,Guma oro ?siurbimui (naudota),1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,27.00
609577.00,2018-11-15,AKU-1825214,A5419900200,?siurbimo kolektoriaus varžt II eil? nuo turbinos (naudotas),1.00,vnt.,1.00 vnt.,Klaip?dos servisas,5.00
609578.00,2018-11-16,AKU-1825308,A5419900300,?siurbimo kolektoriaus varžt I-eil? nuo turbinos (naudotas),2.00,vnt.,2.00 vnt.,Vilniaus realizacija,10.00
632151.00,2018-11-12,AKU-1824896,A9703210384,Plokšt? po linge 160x78x10mm(naudota),1.00,vnt.,1.00 vnt.,Vilniaus servisas,8.00
638449.00,2018-11-15,AKU-1825240,A9463560701,Stebul? galin? (naudota)PJM,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,142.50
654987.00,2018-11-14,AKU-1825092,14893,Rato smeig? M22x1.5-110 PE,2.00,vnt.,2.00 vnt.,Vilniaus servisas,4.12
658186.00,2018-11-14,AKU-1825124,A5419900200,?siurbimo kolektoriaus varžt II eil? nuo turbinos (naudotas),1.00,vnt.,1.00 vnt.,Vilniaus servisas,4.75
664011.00,2018-11-14,AKU-1825127,A9303100083,Kabinos užraktas K.p.(naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,19.00
666692.00,2018-11-13,DKS-0008099,2210003207000,Temp. reguliatorius 24/12V AIRTRONIC,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,59.50
669408.00,2018-11-13,AKU-1824988,A9345200433,Kronšteinas priek sp apat D.p (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,55.80
672224.00,2018-11-13,AKU-1825049,02953,Trauk?s antgalis k.p. FEBI,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,15.78
676987.00,2018-11-18,AKU-1825431,A9324601424 ,Vairo stiprint vamzdelis padavimas ? kolon?le  (naudotas),1.00,vnt.,1.00 vnt.,Šiauli? servisas,14.25
678407.00,2018-11-13,AKU-1825060,14-07-00-0505,Jungtis vamzdelio 12/M22 HALDEX,1.00,vnt.,1.00 vnt.,Kauno servisas,5.31
679785.00,2018-11-13,AKU-1825057,A6462000570,?temp?jas,1.00,vnt.,1.00 vnt.,Vilniaus servisas,70.49
689955.00,2018-11-14,AKU-1825136,A9424605009,Vairolazd? kalon?l? - kabina  (naudota),1.00,vnt.,1.00 vnt.,Šiauli? realizacija,82.80
692775.00,2018-11-15,AKU-1825207,N000000003248,Varžtas pr. dangtelio,3.00,vnt.,3.00 vnt.,Vilniaus realizacija,9.20
695413.00,2018-11-15,AKU-1825254,1322417A,Kaitinimo strypas AT3500/5000 24V,1.00,vnt.,1.00 vnt.,Kauno servisas,78.47
701156.00,2018-11-16,AKU-1825337,A1201420072,Veržl? M8,1.00,vnt.,1.00 vnt.,Vilniaus servisas,1.46
701436.00,2018-11-15,AKU-1825234,A0015458313,Pagalvi? valdymo pultas MP3-8 (naudotas),1.00,vnt.,1.00 vnt.,Kauno realizacija,82.80
705785.00,2018-11-15,AKU-1825214,A0020109851,Purkštukas E5 (naudotas),6.00,vnt.,6.00 vnt.,Klaip?dos servisas,180.00
708838.00,2018-11-16,AKU-1825369,A9424904119,Duslintuvo išmetimo vamzdis (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,20.00
710209.00,2018-11-13,AKU-1824988,A9436660028,Laiptelio pakopa plast. (naudota),1.00,vnt.,1.00 vnt.,Kauno servisas,13.95
712420.00,2018-11-14,AKU-1825092,14893,Rato smeig? M22x1.5-110 PE,2.00,vnt.,2.00 vnt.,Vilniaus servisas,4.12
717610.00,2018-11-16,AKU-1825303,221000514400,Apkaba 26-28 išmetimo vamzdžio EBERSPACHER,1.00,vnt.,1.00 vnt.,Vilniaus servisas,2.41
722063.00,2018-11-13,AKU-1824988,A9418800614,Sparno laikiklis vamzdis d.p (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,32.55
725755.00,2018-11-16,AKU-1825308,A5419900200,?siurbimo kolektoriaus varžt II eil? nuo turbinos (naudotas),1.00,vnt.,1.00 vnt.,Vilniaus realizacija,5.00
731703.00,2018-11-15,AKU-1825265,A0054293644,Atleidimo vožtuvas EPB (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,55.80
734208.00,2018-11-13,AKU-1824988,A9438800042,Laikiklis (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,3.72
738642.00,2018-11-14,AKU-1825135,1674548,Priekinis balkis (naudotas),1.00,vnt.,1.00 vnt.,Kauno realizacija,150.00
740205.00,2018-11-15,AKU-1825230,A0024461321,Prietais? skydelis E3 be AdBlue (naudotas) ,1.00,vnt.,1.00 vnt.,Kauno realizacija,225.00
