K-1001;11864;+Þibintas ðoninio gabarito su jungtimi geltonas LED 24V TANGDE;A0035401581;1;;;;;;;;;;;;;;;;
K-1002;A0024206448;+Þarna pr. d.p.;A0009978134;2;;;;;;;;;;;;;;;;
K-1003;A9705253439;+Laikiklis;A0009847329;3;;;;;;;;;;;;;;;;
K-1004;A9705253539;+Laikiklis;A0009847329;3;;;;;;;;;;;;;;;;
K-1005;M18 680108100;+!*Akumuliatorius 180Ah 1000A EN 12V 223x513x223 Silver VARTA;12349;1;;;;;;;;;;;;;;;;
K-1006;N9 725103115;+!*Akumuliatorius 225Ah 1150A EN 12V 276x518x242 Silver VARTA;12349;1;;;;;;;;;;;;;;;;
K-1007;OX 168D ECO;+Alyvos filtras MAHLE;A0179973345;1;;;;;;;;;;;;;;;;
K-1008;SM-ME005;+Þibintas ðoninio gabarito su jungtimi geltonas LED 24V TRUCKLIGHT;A0035401581;1;;;;;;;;;;;;;;;;
K-1009;TX 18 83;+Termostatas MAHLE;A0249972848;1;;;;;;;;;;;;;;;;
K-1010;14008;+Oro pagalvë TRAILERLINE;418150;1;;;;;;;;;;;;;;;;
K-1011;A0024206948;+Þarna;A0009978134;2;;;;;;;;;;;;;;;;
K-1012;13-05-01-0540;+Þibintas ðoninio gabarito su jungtimi geltonas LED 24V MEGA;A0035401581;1;;;;;;;;;;;;;;;;
K-1013;HU1240X;+Alyvos filtras Actros;A0179973345;1;;;;;;;;;;;;;;;;
K-1014;076.176-10A;+Varþtas-aklë M16 PE;16350;1;;;;;;;;;;;;;;;;
K-1015;NWB 9254800050;+Energoakumuliatorius 20/24 NEW WORLD;A0009970934;2;;;;;;;;;;;;;;;;
K-1016;44202;+*Kompresoriaus galvutë (pailga) su voþtuvø plokðte ir tarpinëmis FEBI;A5419900504;4;;;;;;;;;;;;;;;;
K-1017;TRL1089;+Pakabos oro pagalvë TRAILERLINE;418150;1;;;;;;;;;;;;;;;;
K-1018;A9433301525;+Rato stebulë su guoliu;A9433340115;1;;;;;;;;;;;;;;;;
K-1019;28329;+Auðinimo skysèio siurblys FEBI;33651;1;;;;;;;;;;;;;;;;
K-1020;16-01-01-0210;+Kondicionieriaus radiatorius NISSENS;A9428301615;1;;;;;;;;;;;;;;;;
K-1021;23471;+Ávorë gal. stabilizatoriaus ðoninë  FEBI;N000000005578;2;;;;;;;;;;;;;;;;
K-1022;05-BCT20/24K-03;+Energoakumuliatorius 20/24 NEW WORLD;A0009970934;2;;;;;;;;;;;;;;;;
K-1023;076.817-00A;+Energoakumuliatorius 20/24 PE;A0009970934;2;;;;;;;;;;;;;;;;
K-1024;A541130351980 ;+Kompresoriaus galvutë (pailga) su voþt. tarpinë;A5419900504;4;;;;;;;;;;;;;;;;
K-1025;016.674-00A;+Stabdþiø diskas gal.  Peters;A9429902804;10;;;;;;;;;;;;;;;;
K-1026;1455178;+Ventiliatorius AIRTR.D2 24V TRP;2520690100032;1;;;;;;;;;;;;;;;;
K-1028;419834;+Laikiklis bamperio d.p. AUGER;A0009847329;3;;;;;;;;;;;;;;;;
K-1029;424134;+Laikiklis K AUGER;A0009847329;3;;;;;;;;;;;;;;;;
K-1030;441168;+Galvutës tarpinë (kompl.) ELRING;A5419900501;4;;;;;;;;;;;;;;;;
K-1031;723378;+Þibintas pr. d.p. MP3;A0019903999;4;;;;;;;;;;;;;;;;
K-1032;1606963;+Purkðtukas kuro DAF;46152;1;;;;;;;;;;;;;;;;
K-1033;A0030100651;+Purkðtukas Euro 5 AKCIJA;A5419970645;1;;;;;;;;;;;;;;;;
K-1034;14010;+Pakabos oro pagalvë TRAILERLINE;418150;1;;;;;;;;;;;;;;;;
K-1035;9433301225;+Rato stebulë su guoliu SKF;A9433340115;1;;;;;;;;;;;;;;;;
K-1036;252071E+11;+Ventiliatorius AIRTR.D2 24V EBERSPACHER;252069E+12;1;;;;;;;;;;;;;;;;
K-1037;A0035422618;+Daviklis;A0025402381;1;;;;;;;;;;;;;;;;
K-1038;02-04-02-0151;+Galvutës tarpinë (kompl.) VIKTOR REINZ;A5419900501;4;;;;;;;;;;;;;;;;
K-1039;02-04-03-0350;+Galvutës tarpinë 906 FEDERAL MOGUL;02-02-05-0088;14;;;;;;;;;;;;;;;;
K-1040;02-04-03-0351;+Galvutës tarpinë OM 906 VICTOR REINZ;02-02-05-0088;14;;;;;;;;;;;;;;;;
K-1041;A0040911401;+Siurblys kuro þemo slëgio;A9060910580;1;;;;;;;;;;;;;;;;
K-1042;04-07-00-0014;+Interkulerio þarna KXB;A0019957510;2;;;;;;;;;;;;;;;;
K-1043;15916;+ECAS aukðèio reguliavimo sensorius WABCO;720469;1;;;;;;;;;;;;;;;;
K-1044;A0052032675;+Termostatas 83C;A0249972848;1;;;;;;;;;;;;;;;;
K-1045;08008;+Ðoninës pavaros sand. guma FEBI;N007603045100;1;;;;;;;;;;;;;;;;
K-1046;08-04-02-0486;+Ávorë gal. stabilizatoriaus ðoninë Actros 88x20.5x130 LEMA;N000000005578;2;;;;;;;;;;;;;;;;
K-1047;16092;+Varþtas-aklë M16 PE;16350;1;;;;;;;;;;;;;;;;
K-1048;1322585A;+Degiklis AT2000 ST ;1322586A;1;;;;;;;;;;;;;;;;
K-1049;1322848A;+Degiklis su kaitinimo strypu AT2000 ST WEBASTO;1322586A;1;;;;;;;;;;;;;;;;
K-1050;14.01.6012;+Aukðèio daviklis Actros EBS;720469;1;;;;;;;;;;;;;;;;
K-1051;14-04-02-0149;+Aukðèio daviklis ACTROS WABCO;720469;1;;;;;;;;;;;;;;;;
K-1052;16490;+Energoakumuliatorius 20/24 NEW WORLD;A0009970934;2;;;;;;;;;;;;;;;;
K-1053;14-04-02-0154;+Daviklis aukðèio WABCO 4410501210;A0025402381;1;;;;;;;;;;;;;;;;
K-1054;14-05-00-0504;+Energoakumuliatorius 20/24 RAP;A0009970934;2;;;;;;;;;;;;;;;;
K-1055;15-07-07-0328;+Laikiklis bamperio k.p. kampo Atego ARCEK;A0009847329;3;;;;;;;;;;;;;;;;
K-1056;15-07-07-0329;+Laikiklis bamperio d.p. Atego ARCEK;A0009847329;3;;;;;;;;;;;;;;;;
K-1057;16-02-01-0056;+Salono peèiaus radiatorius HIGWAY;A0309972048;3;;;;;;;;;;;;;;;;
K-1058;16-02-01-0087;+Salono peèiaus radiatorius BEHR;A0309972048;3;;;;;;;;;;;;;;;;
